2, 0.0
1002, 0.0
2002, 0.02
3002, 0.041
4002, 0.084
5002, 0.135
6002, 0.202
7002, 0.281
8002, 0.365
9002, 0.468
10002, 0.588
11002, 0.729
12002, 0.859
13002, 1.014
14002, 1.18
15002, 1.361
16002, 1.521
17002, 1.732
18002, 1.95
19002, 2.201
20002, 2.444
21002, 2.652
22002, 2.945
23002, 3.182
24002, 3.493
25002, 3.737
26002, 4.111
27002, 4.416
28002, 4.757
29002, 5.114
30002, 5.435
31002, 5.816
